time,direction,speed,type
# --- Rotated 90° each time, repeated 3x with 2-beat spacing ---

# Sequence 1 (→ ←)
4.00,right,8,0
4.00,left,8,0
4.25,right,8,0
4.25,left,8,0
4.50,right,8,0
4.50,left,8,0
4.75,right,8,0
4.75,left,8,0

# Sequence 2 (+2 beats, ↓ ↑)
6.00,down,8,0
6.00,up,8,0
6.25,down,8,0
6.25,up,8,0
6.50,down,8,0
6.50,up,8,0
6.75,down,8,0
6.75,up,8,0

# Sequence 3 (+4 beats, ← →)
8.00,left,8,0
8.00,right,8,0
8.25,left,8,0
8.25,right,8,0
8.50,left,8,0
8.50,right,8,0
8.75,left,8,0
8.75,right,8,0
