time,direction,speed,type

5,up,14,0
5.5,right,14,0
6,up,14,0
6.5,right,14,0

7.5,left,14,0
8.5,left,14,0

9.5,up,14,0
10,right,14,0
10.5,up,14,0
11,right,14,0

12,left,14,0
13,left,14,0

16,up,14,0
16.5,right,14,0
17.0,down,14,0

17.5,up,14,0
18,right,14,0
18.5,down,14,0

19.5,up,14,0

20,right,14,0
20.25,right,14,0
20.5,right,14,0
20.75,right,14,0
21.0,right,14,0

23,right,14,0
23.5,down,14,0
24.0,left,14,0

24.5,right,14,0
25,down,14,0
25.5,left,14,0

26.5,down,14,0

27.5,left,14,0
27.75,left,14,0
28,left,14,0
28.25,left,14,0
28.5,left,14,0
