time,eventType,paramA,paramB,typeIndex

# --- Section 1: Warm-up (rhythm familiarization with extra layering) ---

8.00,arrow,up,7,0
9.00,arrow,down,7,0
10.00,arrow,right,4,0
11.00,arrow,down,7,0

12.00,arrow,up,8,0
12.5,arrow,up,8,0
13.0,arrow,up,8,0
13.5,arrow,left,14,0



16,arrow,up,7,0
17,arrow,up,7,0
18,arrow,down,7,0

19,arrow,right,7,0
19.5,arrow,up,10,0          
21.5,arrow,down,2,0            

22,arrow,up,10,0              

23.5,arrow,right,5,0
24.5,arrow,right,5,0       
25.5,arrow,left,12,0
26.0,arrow,left,12,0       

